년도,구분,채소_묶음_분류,시도,면적_계,단수_계,생산량_계,노지_면적,노지_단수,노지_생산량,시설_면적,시설_단수,시설_생산량
"2013","전 남","기 타 채 소","기 타 채 소","790","0","31444","658","0","27689","132","0",3755
"2013","경 북","기 타 채 소","기 타 채 소","284","0","5450","170","0","3854","114","0",1596
"2013","경 남","기 타 채 소","기 타 채 소","808","0","28069","156","0","3371","652","0",24698
"2013","제 주","기 타 채 소","기 타 채 소","227","0","2615","222","0","2458","5","0",157
"2013","(세 종)","기 타 채 소","기 타 채 소","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","계","3541","0","87224","2369","0","44554","1172","0",42670
"2013","서 울","양 채 류","계","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","계","3","0","57","0","0","0","3","0",57
"2013","대 구","양 채 류","계","3","0","33","0","0","0","3","0",33
"2013","인 천","양 채 류","계","1","0","30","0","0","0","1","0",30
"2013","광 주","양 채 류","계","107","0","3799","0","0","0","107","0",3799
"2013","대 전","양 채 류","계","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","계","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","계","167","0","4685","28","0","620","139","0",4065
"2013","강 원","양 채 류","계","771","0","20910","544","0","12968","227","0",7942
"2013","충 북","양 채 류","계","194","0","4780","170","0","3861","24","0",920
"2013","충 남","양 채 류","계","33","0","1204","0","0","0","33","0",1204
"2013","전 북","양 채 류","계","51","0","930","32","0","433","19","0",497
"2013","전 남","양 채 류","계","180","0","6443","3","0","75","177","0",6367
"2013","경 북","양 채 류","계","29","0","401","24","0","274","5","0",127
"2013","경 남","양 채 류","계","439","0","17738","6","0","125","433","0",17614
"2013","제 주","양 채 류","계","1563","0","26215","1562","0","26199","1","0",16
"2013","세 종","양 채 류","계","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","결 구 상 추","655","3111","20377","188","2231","4194","467","3465",16183
"2013","서 울","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","결 구 상 추","1","1515","15","0","0","0","1","1515",15
"2013","대 구","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","결 구 상 추","3","1645","49","0","0","0","3","1645",49
"2013","대 전","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","결 구 상 추","48","2765","1327","16","2606","417","32","2844",910
"2013","강 원","양 채 류","결 구 상 추","153","2181","3337","148","2154","3188","5","2980",149
"2013","충 북","양 채 류","결 구 상 추","13","3352","436","11","3370","371","2","3252",65
"2013","충 남","양 채 류","결 구 상 추","19","4169","792","0","0","0","19","4169",792
"2013","전 북","양 채 류","결 구 상 추","21","1833","385","13","1678","218","8","2085",167
"2013","전 남","양 채 류","결 구 상 추","120","3008","3610","0","0","0","120","3008",3610
"2013","경 북","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","경 남","양 채 류","결 구 상 추","277","3764","10426","0","0","0","277","3764",10426
"2013","경 북","근 채 류","월동무","0","0","0","0","0","0","0","0",0
"2013","경 남","근 채 류","월동무","0","0","0","0","0","0","0","0",0
"2013","제 주","근 채 류","월동무","0","0","0","4575","6501","297400","0","0",0
"2013","(세 종)","근 채 류","월동무","0","0","0","0","0","0","0","0",0
"2013","전 국","근 채 류","당 근","0","0","0","2549","3131","79800","0","0",0
"2013","서 울","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","부 산","근 채 류","당 근","0","0","0","93","3132","2913","0","0",0
"2013","대 구","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","인 천","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","광 주","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","대 전","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","울 산","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","경 기","근 채 류","당 근","0","0","0","11","2168","238","0","0",0
"2013","강 원","근 채 류","당 근","0","0","0","100","3042","3042","0","0",0
"2013","충 북","근 채 류","당 근","0","0","0","32","2989","956","0","0",0
"2013","충 남","근 채 류","당 근","0","0","0","30","3119","936","0","0",0
"2013","전 북","근 채 류","당 근","0","0","0","32","2600","832","0","0",0
"2013","전 남","근 채 류","당 근","0","0","0","36","2697","971","0","0",0
"2013","경 북","근 채 류","당 근","0","0","0","320","2224","7117","0","0",0
"2013","경 남","근 채 류","당 근","0","0","0","396","3657","14482","0","0",0
"2013","제 주","근 채 류","당 근","0","0","0","1499","3223","48313","0","0",0
"2013","(세 종)","근 채 류","당 근","0","0","0","0","0","0","0","0",0
"2013","전 국","근 채 류","연 근","0","0","0","530","2234","11839","0","0",0
"2013","서 울","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","부 산","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","대 구","근 채 류","연 근","0","0","0","237","2128","5043","0","0",0
"2013","인 천","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","광 주","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","대 전","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","울 산","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","경 기","근 채 류","연 근","0","0","0","8","2016","161","0","0",0
"2013","강 원","근 채 류","연 근","0","0","0","1","2792","28","0","0",0
"2013","충 북","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","충 남","근 채 류","연 근","0","0","0","1","2217","22","0","0",0
"2013","전 북","근 채 류","연 근","0","0","0","10","1808","181","0","0",0
"2013","전 남","근 채 류","연 근","0","0","0","28","2444","684","0","0",0
"2013","경 북","근 채 류","연 근","0","0","0","102","3008","3068","0","0",0
"2013","경 남","근 채 류","연 근","0","0","0","143","1854","2651","0","0",0
"2013","제 주","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","(세 종)","근 채 류","연 근","0","0","0","0","0","0","0","0",0
"2013","전 국","근 채 류","우 엉","136","2267","3083","128","2267","2901","8","2275",182
"2013","서 울","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","부 산","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","대 구","근 채 류","우 엉","2","2884","58","0","2281","0","2","2884",58
"2013","인 천","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","광 주","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","대 전","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","울 산","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","경 기","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","강 원","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","충 북","근 채 류","우 엉","3","2260","68","1","1948","19","2","2416",48
"2013","충 남","근 채 류","우 엉","2","1900","38","0","0","0","2","1900",38
"2013","전 북","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","전 남","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","경 북","근 채 류","우 엉","95","2586","2457","93","2601","2419","2","1898",38
"2013","경 남","근 채 류","우 엉","34","1362","463","34","1362","463","0","0",0
"2013","제 주","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","(세 종)","근 채 류","우 엉","0","0","0","0","0","0","0","0",0
"2013","전 국","근 채 류","토 란","188","1474","2771","185","1473","2725","3","1540",46
"2013","서 울","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","부 산","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","대 구","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","인 천","근 채 류","토 란","0","0","0","0","0","0","0","0",0
"2013","광 주","근 채 류","토 란","1","1109","11","1","1109","11","0","0",0
"2013","인 천","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
